vote_id;vote_date;question;issue;title;yeas;nays
00100;16-Jun;On the Cloture Motion;S. 524;Motion to Invoke Cloture on the Motion to Disagree to the House Amendments, Agree to the Request for Conference, and the Presiding Officer Appoint Conferees to S. 524, To authorize the Attorney General and Secretary of Health and Human Services to award grants to address the national epidemics of prescription opioid abuse and heroin use, and to provide for the establishment of an inter-agency task force to review, modify, and update best practices for pain management and prescribing pain medication, and for other purposes.;95;1
00099;14-Jun;On Cloture on the Motion to Proceed;H.R. 2578;Motion to Invoke Cloture on the Motion to Proceed to H.R. 2578, A bill making appropriations for the Departments of Commerce and Justice, Science, and Related Agencies for the fiscal year ending September 30, 2016, and for other purposes.;94;3
00098;14-Jun;On Passage of the Bill;S. 2943;S. 2943 As Amended, An original bill to authorize appropriations for fiscal year 2017 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.;85;13
00097;10-Jun;On the Cloture Motion;S. 2943;Motion to Invoke Cloture on S. 2943, An original bill to authorize appropriations for fiscal year 2017 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.;68;23
00096;09-Jun;On the Cloture Motion;S. 2943;Motion to Invoke Cloture on McCain Amdt. No. 4229, To address unfunded priorities of the Armed Forces.;56;42
00095;09-Jun;On the Cloture Motion;S. 2943;Motion to Invoke Cloture on Reed Amdt. No. 4549, To authorize parity for defense and nondefense spending pursuant to the Bipartisan Budget Act of 2015.;43;55
00094;08-Jun;On the Motion;H.R. 2577;Sullivan Motion to Instruct Conferees Re: H.R. 2577, A bill making appropriations for the Departments of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2016, and for other purposes.;56;38
00093;08-Jun;On the Motion;H.R. 2577;Nelson Motion to Instruct Conferees (Ebola/Zika Funding) Re: H.R. 2577, A bill making appropriations for the Departments of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2016, and for other purposes.;46;49
00092;08-Jun;On the Cloture Motion;H.R. 2577;Motion to Invoke Cloture Re: Compound Motion to Disagree to the House Amdt. to Senate Amdt., Agree to Request to Conference, and Authorize Presiding Officer to Appoint Conferees to H.R. 2577, A bill making appropriations for the Departments of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2016, and for other purposes.;93;2
00091;07-Jun;On the Amendment;S. 2943;Inhofe Amdt. No. 4204, To strike the provision relating to the pilot program on privatization of the Defense Commissary System.;70;28
00090;07-Jun;On the Amendment;S. 2943;Durbin Amdt. No. 4369, To provide that certain provisions in this Act relating to limitations, transparency, and oversight regarding medical research conducted by the Department of Defense shall have no force or effect.;66;32
00089;06-Jun;On the Amendment;S. 2943;Fischer Amdt. No. 4206, To modify the requirement that the Secretary of Defense implement measures to maintain the critical wartime medical readiness skills and core competencies of health care providers within the Armed Forces.;91;0
00088;26-May;On the Nomination;PN771;Confirmation Laura S. H. Holgate, of Virginia, to be Representative to the International Atomic Energy Agency;67;29
00087;25-May;On Cloture on the Motion to Proceed;S. 2943;Motion to Invoke Cloture on the Motion to Proceed to S. 2943, An original bill to authorize appropriations for fiscal year 2017 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.;98;0
00086;25-May;On the Joint Resolution;S.J.Res. 28;S.J. Res. 28, A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Secretary of Agriculture relating to inspection of fish of the order Siluriformes.;55;43
00085;24-May;On the Motion to Proceed;S.J.Res. 28;Motion to Proceed Re: S.J. Res. 28, A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Secretary of Agriculture relating to inspection of fish of the order Siluriformes.;57;40
00084;24-May;On the Joint Resolution;H.J.Res. 88;H.J. Res. 88, A joint resolution disapproving the rule submitted by the Department of Labor relating to the definition of the term "Fiduciary".;56;41
00083;23-May;On Passage of the Bill;S. 2613;S. 2613 As Amended, A bill to reauthorize certain programs established by the Adam Walsh Child Protection and Safety Act of 2006.;89;0
00082;19-May;On Passage of the Bill;H.R. 2577;H.R. 2577 As Amended, A bill making appropriations for the Departments of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2016, and for other purposes.;89;8
00081;19-May;On the Motion to Table;H.R. 2577;Motion to Table Lee Amdt. No. 3897, To prohibit the use of funds to carry out a rule and notice of the Department of Housing and Urban Development.;60;37
00080;19-May;On the Amendment;H.R. 2577;Collins Amdt. No. 3970, To prohibit the use of funds to carry out a final rule and notice of the Department of Housing and Urban Development.;87;9
00079;19-May;On the Motion;H.R. 2577;Motion to Waive All Applicable Budgetary Discipline Re: McCain Amdt. No. 4039, To extend and expand eligibility for the Veterans Choice Program of the Department of Veterans Affairs and to establish consistent criteria and standards relating to the use of amounts under the Medical Community Care account of the Department of Veterans Affairs.;84;14
00078;19-May;On the Cloture Motion;H.R. 2577;Motion to Invoke Cloture on Amdt. No. 3896 to H.R. 2577, In the nature of a substitute.;88;10
00077;19-May;On the Amendment;H.R. 2577;Blunt Amdt. No. 3900 As Modified and Amended, Zika response and preparedness.;68;30
00076;19-May;On the Motion;H.R. 2577;Motion to Waive All Applicable Budgetary Discipline Re: Amdt. No. 3900 As Modified, Zika response and preparedness.;70;28
